amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
http://www.amazon.com/The-Postcard-Killers-James-Patterson/dp/145550663X?tag=NYTBS-20,James Patterson and Liza Marklund,"An N.Y.P.D. detective joins a Swedish reporter in a search for the killer of young couples in Europe, including his daughter and her boyfriend.","Little, Brown",THE POSTCARD KILLERS,5b4aa4ead3089013507dbadb,2010-09-05,2010-09-19,5,2,3,27.99
http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dbadc,2010-09-05,2010-09-19,6,4,75,24.95
http://www.amazon.com/The-Way-Kings-Stormlight-Archive/dp/0765365278?tag=NYTBS-20,Brandon Sanderson,"In the first book of a new series, the Stormlight Archive, war ravages the world of Roshar.",Tor/Tom Doherty,THE WAY OF KINGS,5b4aa4ead3089013507dbadd,2010-09-05,2010-09-19,7,0,1,27.99
http://www.amazon.com/Spider-Bones-Tempe-Brennan-Reichs/dp/1439102406?tag=NYTBS-20,Kathy Reichs,Temperance Brennan investigates the case of a man who seems to have died twice.,Scribner,SPIDER BONES,5b4aa4ead3089013507dbade,2010-09-05,2010-09-19,8,3,2,26.99
http://www.amazon.com/Body-Work-V-I-Warshawski-Novel/dp/0399156747?tag=NYTBS-20,Sara Paretsky,V. I. Warshawski probes the death of a club patron.,Putnam,BODY WORK,5b4aa4ead3089013507dbadf,2010-09-05,2010-09-19,9,0,1,26.95
http://www.amazon.com/Star-Island-Carl-Hiaasen/dp/0446556122?tag=NYTBS-20,Carl Hiaasen,A paparazzo attempting to kidnap a drug-addled pop star grabs her stunt double by mistake.,Knopf,STAR ISLAND,5b4aa4ead3089013507dbae0,2010-09-05,2010-09-19,10,6,6,26.95
http://www.amazon.com/The-Cobra-Frederick-Forsyth/dp/0451233565?tag=NYTBS-20,Frederick Forsyth,A former C.I.A. operative is unleashed on the cocaine industry.,Putnam,THE COBRA,5b4aa4ead3089013507dbae1,2010-09-05,2010-09-19,11,9,3,26.95
http://www.amazon.com/The-Red-Queen-Novel-Cousins-ebook/dp/B003LL3KQQ?tag=NYTBS-20,Philippa Gregory,More intrigue during the War of the Roses; by the author of “The Other Boleyn Girl.”,Touchstone/Simon & Schuster,THE RED QUEEN,5b4aa4ead3089013507dbae2,2010-09-05,2010-09-19,12,8,5,25.99
http://www.amazon.com/Tough-Customer-Novel-Sandra-Brown/dp/1416563113?tag=NYTBS-20,Sandra Brown,A private investigator pursues a deranged killer.,Simon & Schuster,TOUGH CUSTOMER,5b4aa4ead3089013507dbae3,2010-09-05,2010-09-19,13,7,4,26.99
http://www.amazon.com/Id-Know-You-Anywhere-Novel/dp/B006OHTW2U?tag=NYTBS-20,Laura Lippman,A man who kidnapped a 15-year-old girl contacts her from death row years later.,Morrow/HarperCollins,I'D KNOW YOU ANYWHERE,5b4aa4ead3089013507dbae5,2010-09-05,2010-09-19,15,11,3,25.99
http://www.amazon.com/Spring-Fancy-LaVyrle-Spencer-ebook/dp/B004WBJ5BS?tag=NYTBS-20,Jennifer Crusie,"A woman’s ex-husband schemes to get her back, employing kids and ghosts.",St. Martin’s,MAYBE THIS TIME,5b4aa4ead3089013507dbae6,2010-09-05,2010-09-19,16,0,1,24.99
http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,The third volume of a trilogy about a Swedish hacker and a journalist.,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507dbaec,2010-09-12,2010-09-26,2,2,16,27.95
http://www.amazon.com/No-Mercy-Dark-Hunters-Sherrilyn-Kenyon/dp/0312537921?tag=NYTBS-20,Sherrilyn Kenyon,Book 19 of the Dark-Hunter paranormal series.,St. Martin’s,NO MERCY,5b4aa4ead3089013507dbaed,2010-09-12,2010-09-26,3,0,1,24.99
http://www.amazon.com/Getting-Happy-Terry-McMillan/dp/0451233344?tag=NYTBS-20,Terry McMillan,"Revisiting the four women from “Waiting to Exhale,” 15 years later.",Viking,GETTING TO HAPPY,5b4aa4ead3089013507dbaee,2010-09-12,2010-09-26,4,0,1,27.95
http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,A young white woman and two black maids in 1960s ­Mississippi.,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dbaef,2010-09-12,2010-09-26,5,6,76,24.95
http://www.amazon.com/The-Postcard-Killers-James-Patterson/dp/145550663X?tag=NYTBS-20,James Patterson and Liza Marklund,"An N.Y.P.D. detective joins a Swedish reporter in a search for the killer of young couples in Europe, including his daughter and her boyfriend.","Little, Brown",THE POSTCARD KILLERS,5b4aa4ead3089013507dbaf0,2010-09-12,2010-09-26,6,5,4,27.99
http://www.amazon.com/Lost-Empire-A-Fargo-Adventure/dp/0399156763?tag=NYTBS-20,Clive Cussler with Grant Blackwood,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, pursue an important relic.",Putnam,LOST EMPIRE,5b4aa4ead3089013507dbaf1,2010-09-12,2010-09-26,7,4,2,27.95
