state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Puerto Rico,African-American,"Fine Artists, Art Directors, And Animators",1405,0,NA,0
Alabama,Asian,"Fine Artists, Art Directors, And Animators",33515,0,NA,0
Alaska,Asian,"Fine Artists, Art Directors, And Animators",26420,0,NA,0
Arizona,Asian,"Fine Artists, Art Directors, And Animators",120580,165,0.00136838613368717,0.9053073033661404
Arkansas,Asian,"Fine Artists, Art Directors, And Animators",24295,0,NA,0
California,Asian,"Fine Artists, Art Directors, And Animators",3008795,6025,0.00200246277995011,1.3248045524423069
Colorado,Asian,"Fine Artists, Art Directors, And Animators",97015,0,NA,0
Connecticut,Asian,"Fine Artists, Art Directors, And Animators",89425,55,6.150405367626502e-4,0.4069031950047122
Delaware,Asian,"Fine Artists, Art Directors, And Animators",19880,0,NA,0
District of Columbia,Asian,"Fine Artists, Art Directors, And Animators",19090,0,NA,0
Florida,Asian,"Fine Artists, Art Directors, And Animators",292825,240,8.196021514556477e-4,0.5422386235148908
Georgia,Asian,"Fine Artists, Art Directors, And Animators",217095,215,9.903498468412449e-4,0.6552031821727585
Hawaii,Asian,"Fine Artists, Art Directors, And Animators",290190,390,0.00134394706916158,0.8891387212256294
Idaho,Asian,"Fine Artists, Art Directors, And Animators",12030,15,0.00124688279301745,0.8249221993492721
Illinois,Asian,"Fine Artists, Art Directors, And Animators",378055,305,8.06760921030009e-4,0.5337430246467457
Indiana,Asian,"Fine Artists, Art Directors, And Animators",76575,80,0.00104472739144629,0.6911786916127889
Iowa,Asian,"Fine Artists, Art Directors, And Animators",40760,0,NA,0
Kansas,Asian,"Fine Artists, Art Directors, And Animators",46470,0,NA,0
Kentucky,Asian,"Fine Artists, Art Directors, And Animators",33565,0,NA,0
Louisiana,Asian,"Fine Artists, Art Directors, And Animators",41430,45,0.00108616944243301,0.7185962388248911
Maine,Asian,"Fine Artists, Art Directors, And Animators",8235,45,0.00546448087431694,3.6152328080771383
Maryland,Asian,"Fine Artists, Art Directors, And Animators",213470,305,0.00142877219281397,0.945257971531482
Massachusetts,Asian,"Fine Artists, Art Directors, And Animators",249930,165,6.601848517584924e-4,0.4367701141915304
Michigan,Asian,"Fine Artists, Art Directors, And Animators",163870,135,8.238237627387565e-4,0.5450315892081876
Minnesota,Asian,"Fine Artists, Art Directors, And Animators",143550,180,0.0012539184952978,0.8295769327625283
Mississippi,Asian,"Fine Artists, Art Directors, And Animators",14850,0,NA,0
Missouri,Asian,"Fine Artists, Art Directors, And Animators",63375,115,0.0018145956607495,1.2005139952028936
Montana,Asian,"Fine Artists, Art Directors, And Animators",4980,0,NA,0
Nebraska,Asian,"Fine Artists, Art Directors, And Animators",24515,0,NA,0
Nevada,Asian,"Fine Artists, Art Directors, And Animators",131920,165,0.00125075803517283,0.8274860115212945
New Hampshire,Asian,"Fine Artists, Art Directors, And Animators",20330,0,NA,0
New Jersey,Asian,"Fine Artists, Art Directors, And Animators",450385,450,9.991451757940428e-4,0.6610220627799601
New Mexico,Asian,"Fine Artists, Art Directors, And Animators",16455,0,NA,0
New York,Asian,"Fine Artists, Art Directors, And Animators",864770,2820,0.0032609826890387,2.157425723529133
North Carolina,Asian,"Fine Artists, Art Directors, And Animators",154710,65,4.2014090879710425e-4,0.27796001714225044
North Dakota,Asian,"Fine Artists, Art Directors, And Animators",6855,0,NA,0
Ohio,Asian,"Fine Artists, Art Directors, And Animators",136125,205,0.00150596877869605,0.996330275812774
Oklahoma,Asian,"Fine Artists, Art Directors, And Animators",44710,0,NA,0
Oregon,Asian,"Fine Artists, Art Directors, And Animators",98010,265,0.00270380573410876,1.7888043569809289
Pennsylvania,Asian,"Fine Artists, Art Directors, And Animators",227500,170,7.472527472527472e-4,0.4943731545462847
Rhode Island,Asian,"Fine Artists, Art Directors, And Animators",18645,60,0.00321802091713596,2.1290027477976388
South Carolina,Asian,"Fine Artists, Art Directors, And Animators",41915,95,0.0022664917094119,1.499482819239438
South Dakota,Asian,"Fine Artists, Art Directors, And Animators",7135,0,NA,0
Tennessee,Asian,"Fine Artists, Art Directors, And Animators",62925,0,NA,0
Texas,Asian,"Fine Artists, Art Directors, And Animators",712575,450,6.315124723713293e-4,0.4178008234152929
Utah,Asian,"Fine Artists, Art Directors, And Animators",40990,50,0.00121980970968528,0.807010983017951
Vermont,Asian,"Fine Artists, Art Directors, And Animators",6080,0,NA,0
Virginia,Asian,"Fine Artists, Art Directors, And Animators",304945,280,9.181983636393448e-4,0.6074686552849615
Washington,Asian,"Fine Artists, Art Directors, And Animators",355135,460,0.00129528207583031,0.8569425648948527
West Virginia,Asian,"Fine Artists, Art Directors, And Animators",7825,0,NA,0
Wisconsin,Asian,"Fine Artists, Art Directors, And Animators",85760,25,2.915111940298507e-4,0.1928601923618576
Wyoming,Asian,"Fine Artists, Art Directors, And Animators",2835,0,NA,0
Puerto Rico,Asian,"Fine Artists, Art Directors, And Animators",1335,0,NA,0
Alabama,Other,"Fine Artists, Art Directors, And Animators",43075,0,NA,0
Alaska,Other,"Fine Artists, Art Directors, And Animators",71330,240,0.00336464320762652,1.831603675248008
Arizona,Other,"Fine Artists, Art Directors, And Animators",182520,540,0.0029585798816568,1.6105558451114448
Arkansas,Other,"Fine Artists, Art Directors, And Animators",37895,0,NA,0
California,Other,"Fine Artists, Art Directors, And Animators",688910,2290,0.00332409168106138,1.809528726877474
Colorado,Other,"Fine Artists, Art Directors, And Animators",87510,90,0.00102845389098388,0.5598572598364775
Connecticut,Other,"Fine Artists, Art Directors, And Animators",41230,50,0.00121270919233567,0.6601599268101728
Delaware,Other,"Fine Artists, Art Directors, And Animators",10885,0,NA,0
District of Columbia,Other,"Fine Artists, Art Directors, And Animators",11085,0,NA,0
Florida,Other,"Fine Artists, Art Directors, And Animators",214840,150,6.981940048408116e-4,0.38007438720513054
Georgia,Other,"Fine Artists, Art Directors, And Animators",102865,265,0.00257619209643707,1.4023962187977652
Hawaii,Other,"Fine Artists, Art Directors, And Animators",198250,235,0.00118537200504413,0.6452784402380937
Idaho,Other,"Fine Artists, Art Directors, And Animators",25710,0,NA,0
Illinois,Other,"Fine Artists, Art Directors, And Animators",112345,145,0.00129066714139481,0.7025977299293419
Indiana,Other,"Fine Artists, Art Directors, And Animators",61485,80,0.00130113035699764,0.7082935683794985
Iowa,Other,"Fine Artists, Art Directors, And Animators",27340,0,NA,0
Kansas,Other,"Fine Artists, Art Directors, And Animators",43715,80,0.00183003545693697,0.9962125140526928
Kentucky,Other,"Fine Artists, Art Directors, And Animators",36080,60,0.00166297117516629,0.9052680858885837
Louisiana,Other,"Fine Artists, Art Directors, And Animators",42460,55,0.00129533678756476,0.7051397352949073
Maine,Other,"Fine Artists, Art Directors, And Animators",14700,60,0.00408163265306122,2.221909696521096
Maryland,Other,"Fine Artists, Art Directors, And Animators",85910,165,0.00192061459667093,1.04552088792766
Massachusetts,Other,"Fine Artists, Art Directors, And Animators",97815,135,0.00138015641772734,0.7513128171797294
Michigan,Other,"Fine Artists, Art Directors, And Animators",120390,165,0.00137054572638923,0.7460810655524982
Minnesota,Other,"Fine Artists, Art Directors, And Animators",83065,100,0.00120387648227291,0.6553516831970967
Mississippi,Other,"Fine Artists, Art Directors, And Animators",17430,0,NA,0
Missouri,Other,"Fine Artists, Art Directors, And Animators",70070,50,7.135721421435707e-4,0.3884457511400516
Montana,Other,"Fine Artists, Art Directors, And Animators",37130,60,0.00161594398060867,0.87966799188958
Nebraska,Other,"Fine Artists, Art Directors, And Animators",24240,0,NA,0
Nevada,Other,"Fine Artists, Art Directors, And Animators",69460,120,0.00172761301468471,0.94045702674518
New Hampshire,Other,"Fine Artists, Art Directors, And Animators",12270,0,NA,0
New Jersey,Other,"Fine Artists, Art Directors, And Animators",85410,95,0.00111228193419974,0.6054905536415934
New Mexico,Other,"Fine Artists, Art Directors, And Animators",91840,405,0.00440984320557491,2.4005769777581194
New York,Other,"Fine Artists, Art Directors, And Animators",234265,605,0.00258254540797814,1.4058547575047031
North Carolina,Other,"Fine Artists, Art Directors, And Animators",145630,105,7.210052873721075e-4,0.3924921166174907
North Dakota,Other,"Fine Artists, Art Directors, And Animators",23305,0,NA,0
Ohio,Other,"Fine Artists, Art Directors, And Animators",121180,220,0.00181548110249216,0.9882895910421444
Oklahoma,Other,"Fine Artists, Art Directors, And Animators",242885,370,0.00152335467402268,0.8292653477556757
Oregon,Other,"Fine Artists, Art Directors, And Animators",93460,215,0.00230044939011341,1.2522907475310154
Pennsylvania,Other,"Fine Artists, Art Directors, And Animators",104810,145,0.0013834557771205,0.7531088824435828
Rhode Island,Other,"Fine Artists, Art Directors, And Animators",16140,0,NA,0
South Carolina,Other,"Fine Artists, Art Directors, And Animators",46335,65,0.00140282723643034,0.7636540825962759
South Dakota,Other,"Fine Artists, Art Directors, And Animators",32695,60,0.00183514298822449,0.9989928900094848
Tennessee,Other,"Fine Artists, Art Directors, And Animators",60575,85,0.00140321914981427,0.7638674276525268
Texas,Other,"Fine Artists, Art Directors, And Animators",261190,325,0.00124430491213293,0.6773596216757618
Utah,Other,"Fine Artists, Art Directors, And Animators",57995,75,0.00129321493232175,0.7039846654638353
Vermont,Other,"Fine Artists, Art Directors, And Animators",5900,0,NA,0
Virginia,Other,"Fine Artists, Art Directors, And Animators",128845,170,0.00131941480072955,0.7182470321712415
Washington,Other,"Fine Artists, Art Directors, And Animators",214925,420,0.00195417005932301,1.0637874038479502
West Virginia,Other,"Fine Artists, Art Directors, And Animators",10700,0,NA,0
Wisconsin,Other,"Fine Artists, Art Directors, And Animators",66920,105,0.00156903765690376,0.8541336960998981
Wyoming,Other,"Fine Artists, Art Directors, And Animators",10830,0,NA,0
Puerto Rico,Other,"Fine Artists, Art Directors, And Animators",2275,0,NA,0
Alabama,Hispanic,Designers,88165,175,0.0019849146486701,0.5122075633501678
Alaska,Hispanic,Designers,26875,0,NA,0
Arizona,Hispanic,Designers,1033370,2805,0.00271441981090993,0.7004564947853721
Arkansas,Hispanic,Designers,101405,135,0.00133129530102065,0.3435409793021544
California,Hispanic,Designers,7470730,31960,0.00427802905472423,1.1039461266153956
Colorado,Hispanic,Designers,594525,1735,0.00291829611875026,0.7530668107673155
Connecticut,Hispanic,Designers,288845,925,0.00320240959684259,0.8263823422064723
Delaware,Hispanic,Designers,41365,60,0.00145050163181433,0.3743021932781065
District of Columbia,Hispanic,Designers,44885,300,0.00668374735435,1.724742143806269
Florida,Hispanic,Designers,2752995,13445,0.00488377203736294,1.260258206513498
Georgia,Hispanic,Designers,467240,1500,0.00321034158034414,0.828429191900783
Hawaii,Hispanic,Designers,69470,220,0.0031668346048654,0.8172022094642177
Idaho,Hispanic,Designers,101285,260,0.00256701387174803,0.6624183670643411
Illinois,Hispanic,Designers,1100445,3505,0.00318507512869793,0.8219091797476749
Indiana,Hispanic,Designers,212120,945,0.00445502545728832,1.1496200784600452
Iowa,Hispanic,Designers,90730,55,6.061942025790808e-4,0.15642851728061063
Kansas,Hispanic,Designers,167495,260,0.00155228514284008,0.40056744564382096
Kentucky,Hispanic,Designers,76325,200,0.00262037340320995,0.6761878032513975
Louisiana,Hispanic,Designers,113925,490,0.0043010752688172,1.109893206089525
Maine,Hispanic,Designers,10935,80,0.00731595793324188,1.887884191427999
Maryland,Hispanic,Designers,321570,1255,0.00390272724445688,1.0070994305185412
Massachusetts,Hispanic,Designers,401715,1120,0.00278804625169585,0.7194558103772881
Michigan,Hispanic,Designers,236520,990,0.00418569254185692,1.0801186737343835
Minnesota,Hispanic,Designers,149745,490,0.00327222945674313,0.844399368952213
Mississippi,Hispanic,Designers,38780,80,0.00206291903042805,0.5323366073559868
Missouri,Hispanic,Designers,121550,695,0.00571781160016454,1.4754822578279811
Montana,Hispanic,Designers,19215,0,NA,0
Nebraska,Hispanic,Designers,99485,275,0.00276423581444438,0.7133115229868725
Nevada,Hispanic,Designers,430565,1250,0.00290316212418566,0.7491614808908484
New Hampshire,Hispanic,Designers,25860,65,0.00251353441608662,0.6486179844171673
New Jersey,Hispanic,Designers,928940,3805,0.00409606648438004,1.0569906543287777
New Mexico,Hispanic,Designers,459615,1415,0.00307866366415369,0.7944496831878368
New York,Hispanic,Designers,1819490,11305,0.0062132795453671,1.6033378455230771
North Carolina,Hispanic,Designers,451040,1535,0.00340324583185526,0.8782081668771625
North Dakota,Hispanic,Designers,14510,0,NA,0
Ohio,Hispanic,Designers,204545,845,0.00413112029137842,1.066036295198432
Oklahoma,Hispanic,Designers,187725,280,0.00149154348115594,0.3848930494948892
Oregon,Hispanic,Designers,266060,1180,0.00443508982936179,1.144475686276258
Pennsylvania,Hispanic,Designers,423215,1280,0.00302446746925321,0.7804643458578798
Rhode Island,Hispanic,Designers,78695,445,0.00565474299510769,1.459207393545174
South Carolina,Hispanic,Designers,134610,205,0.00152291805957952,0.3929892648038184
South Dakota,Hispanic,Designers,15565,50,0.0032123353678124,0.8289436890967381
Tennessee,Hispanic,Designers,167595,345,0.00205853396581043,0.5312050406841257
Texas,Hispanic,Designers,5220455,17015,0.0032592944484724,0.841061487863622
Utah,Hispanic,Designers,213410,880,0.00412351811067897,1.064074551173407
Vermont,Hispanic,Designers,6470,0,NA,0
Virginia,Hispanic,Designers,427525,1550,0.0036255189754985,0.9355657894731596
Washington,Hispanic,Designers,448570,1700,0.00378982098669104,0.9779639514610536
West Virginia,Hispanic,Designers,12005,0,0,0
Wisconsin,Hispanic,Designers,186120,585,0.00314313346228239,0.8110861255816222
Wyoming,Hispanic,Designers,27680,205,0.00740606936416184,1.9111374615333088
Puerto Rico,Hispanic,Designers,1208905,3565,0.00294894966932885,0
Alabama,White,Designers,1496830,7025,0.00469325173867439,0.7107340388707086
Alaska,White,Designers,253950,840,0.00330773774365032,0.5009153433422461
Arizona,White,Designers,1857110,12230,0.00658550112809688,0.9972914463953122
Arkansas,White,Designers,1014735,4715,0.00464653333136237,0.703659122764065
California,White,Designers,7686845,83575,0.01087247108534125,1.6464992114768149
Colorado,White,Designers,2172170,17105,0.00787461386539727,1.192511382029953
Connecticut,White,Designers,1329540,9625,0.00723934593919701,1.0963080321792045
Delaware,White,Designers,307920,1655,0.00537477266822551,0.8139418252426358
District of Columbia,White,Designers,183365,1770,0.00965287813923049,1.461807175201694
Florida,White,Designers,5285390,33525,0.00634295671653369,0.9605611410900792
Georgia,White,Designers,2773560,17435,0.00628614488238942,0.951957702241002
Hawaii,White,Designers,177700,1110,0.00624648283624085,0.9459513834201396
Idaho,White,Designers,688065,3805,0.00553000079934308,0.8374491763754147
Illinois,White,Designers,4224420,28330,0.0067062460645485,1.0155767507292512
Indiana,White,Designers,2724985,12280,0.00450644682447793,0.6824447804757924
Iowa,White,Designers,1463250,6745,0.0046096019135486,0.6980663233138027
Kansas,White,Designers,1178420,6730,0.0057110368120025104,0.864864807077301
Kentucky,White,Designers,1787115,7105,0.00397568147545065,0.602067033614652
Louisiana,White,Designers,1337315,7545,0.0056419018705391,0.854395188375949
Maine,White,Designers,658985,3625,0.00550088393514268,0.8330397929362371
Maryland,White,Designers,1690500,11205,0.0066282165039929,1.0037601536632998
Massachusetts,White,Designers,2791055,21235,0.00760823416235079,1.1521715211485766
Michigan,White,Designers,3807850,24870,0.00653124466562495,0.9890749864961468
Minnesota,White,Designers,2524705,18180,0.00720084128640771,1.09047698604828
Mississippi,White,Designers,787155,2825,0.00358887385584795,0.5434898770814207
Missouri,White,Designers,2479115,13475,0.00543540739336416,0.8231241929256828
Montana,White,Designers,472695,2225,0.00470705211605792,0.7128239327229619
Nebraska,White,Designers,845465,4035,0.00477252163010887,0.7227384684724288
Nevada,White,Designers,749805,4840,0.00645501163635878,0.97753045153348606
New Hampshire,White,Designers,690940,4305,0.00623064231337019,0.9435525351536131
New Jersey,White,Designers,2640925,18470,0.00699376165548056,1.0591173764104884
New Mexico,White,Designers,374900,1985,0.0052947452654041,0.8018226800540473
New York,White,Designers,5774960,55810,0.00966413620180919,1.4635120674026552
North Carolina,White,Designers,3309215,19165,0.00579140370148207,0.8770353632570592
North Dakota,White,Designers,363175,1370,0.00377228608797411,0.5712653563814372
Ohio,White,Designers,4775955,25545,0.00534866848619804,0.8099886746858671
Oklahoma,White,Designers,1276415,5010,0.0039250557224727,0.5944003990745982
Oregon,White,Designers,1600140,11890,0.00743059982251553,1.1252710310783574
Pennsylvania,White,Designers,5161830,27050,0.00524038955176749,0.7935911898123662
Rhode Island,White,Designers,423445,3095,0.00730909563225448,1.1068707472895445
South Carolina,White,Designers,1586190,8690,0.00547853661919442,0.829655572569163
South Dakota,White,Designers,398225,1870,0.00469583778014941,0.7111256623770889
Tennessee,White,Designers,2455855,12735,0.00518556673744989,0.78528896303831
Texas,White,Designers,6162190,41825,0.0067873596886821,1.027860390495014
Utah,White,Designers,1227970,9475,0.00771598654690261,1.1684892666552544
Vermont,White,Designers,319270,1815,0.00568484354934694,0.860898166378064
Virginia,White,Designers,2778485,16740,0.0060248660690988,0.91239030705716
Washington,White,Designers,2668545,19555,0.00732796336580421,1.1097280285982862
West Virginia,White,Designers,734535,2545,0.00346477703581177,0.5246969720709083
Wisconsin,White,Designers,2597700,16210,0.00624013550448473,0.9449901597342452
Wyoming,White,Designers,260685,930,0.00356752402324644,0.5402567130410081
Puerto Rico,White,Designers,13370,100,0.00747943156320119,0
Alabama,African-American,Designers,581200,385,6.62422573984859e-4,0.3065291344871363
Alaska,African-American,Designers,13760,0,NA,0
Arizona,African-American,Designers,152575,210,0.00137637227592987,0.6369019098109971
Arkansas,African-American,Designers,200385,215,0.00107293460089328,0.49648929171401646
California,African-American,Designers,1066265,5035,0.004722090662265,2.185098184330545
Colorado,African-American,Designers,118415,240,0.00202677025714647,0.9378667894575408
Connecticut,African-American,Designers,191785,495,0.00258101519931172,1.1943378535304134
Delaware,African-American,Designers,105485,270,0.00255960563113238,1.1844307992398593
District of Columbia,African-American,Designers,149480,605,0.00404736419587904,1.8728755520118887
Florida,African-American,Designers,1569980,2215,0.00141084599803819,0.65285426502263455
Georgia,African-American,Designers,1613775,3545,0.00219671267679819,1.0165058709959671
Hawaii,African-American,Designers,16455,60,0.00364630811303555,1.6872910342390568
Idaho,African-American,Designers,5195,0,NA,0
Illinois,African-American,Designers,848255,1610,0.00189801415847828,0.8782862482219363
Indiana,African-American,Designers,292355,645,0.00220622188777342,1.0209061591569824
Iowa,African-American,Designers,56060,40,7.135212272565109e-4,0.330174503132402
Kansas,African-American,Designers,83690,90,0.00107539729955789,0.4976288798256126
Kentucky,African-American,Designers,176080,230,0.0013062244434348,0.6044417322365635
Louisiana,African-American,Designers,656860,795,0.00121030356544773,0.5600553467730548
Maine,African-American,Designers,8410,0,NA,0
Maryland,African-American,Designers,957780,2225,0.00232308045688989,1.0749812427296837
Massachusetts,African-American,Designers,260415,660,0.0025344162202638,1.1727746621832094
Michigan,African-American,Designers,624375,1280,0.00205005005005004,0.9486392707255712
Minnesota,African-American,Designers,171180,285,0.00166491412548194,0.7704216400859767
Mississippi,African-American,Designers,488460,370,7.574827007329156e-4,0.35051721629575133
Missouri,African-American,Designers,340530,710,0.0020849851701759,0.9648051330556588
Montana,African-American,Designers,2855,0,NA,0
Nebraska,African-American,Designers,45795,0,NA,0
Nevada,African-American,Designers,125635,610,0.00485533489871452,2.24675556449586
New Hampshire,African-American,Designers,9675,0,NA,0
New Jersey,African-American,Designers,584190,2035,0.00348345572502096,1.6119327908643162
New Mexico,African-American,Designers,19190,65,0.00338718082334549,1.5673825846328289
New York,African-American,Designers,1375735,5550,0.00403420716925861,1.8667872752218564
North Carolina,African-American,Designers,1079195,1825,0.0016910752922317,0.7825274470374787
North Dakota,African-American,Designers,12445,0,NA,0
Ohio,African-American,Designers,680665,930,0.00136631088714712,0.6322461071309045
Oklahoma,African-American,Designers,134195,175,0.00130407243190878,0.6034459113566879
Oregon,African-American,Designers,39020,80,0.00205023065094823,0.9487228419068402
Pennsylvania,African-American,Designers,636035,1295,0.00203605147515466,0.9421615762519032
Rhode Island,African-American,Designers,31000,40,0.00129032258064516,0.5970833111484662
South Carolina,African-American,Designers,638810,880,0.00137756140323413,0.6374521660638592
South Dakota,African-American,Designers,8670,0,NA,0
Tennessee,African-American,Designers,554550,745,0.0013434316112163,0.6216589609130749
Texas,African-American,Designers,1699445,3725,0.00219189205887804,1.0142751803510726
Utah,African-American,Designers,16855,0,NA,0
Vermont,African-American,Designers,4210,0,NA,0
Virginia,African-American,Designers,837445,1520,0.00181504457009117,0.8398929368888622
Washington,African-American,Designers,147305,440,0.00298699976239774,1.3822029741123991
West Virginia,African-American,Designers,29055,0,NA,0
Wisconsin,African-American,Designers,160610,165,0.00102733329182491,0.47538776174030334
Wyoming,African-American,Designers,2975,0,NA,0
Puerto Rico,African-American,Designers,1405,0,NA,0
Alabama,Asian,Designers,33515,80,0.00238699089959719,0.2942602727388138
Alaska,Asian,Designers,26420,35,0.00132475397426192,0.16331124925692989
Arizona,Asian,Designers,120580,770,0.00638580195720683,0.7872203559304854
Arkansas,Asian,Designers,24295,145,0.00596830623585099,0.7357528765805694
California,Asian,Designers,3008795,32545,0.01081662260140687,1.3334371393455748
Colorado,Asian,Designers,97015,460,0.00474153481420398,0.5845205894432586
Connecticut,Asian,Designers,89425,430,0.00480849874196253,0.5927756789994099
Delaware,Asian,Designers,19880,75,0.00377263581488933,0.46507795401351915
District of Columbia,Asian,Designers,19090,275,0.0144054478784704,1.77585554362976
Florida,Asian,Designers,292825,1610,0.00549816443268163,0.6777953639441033
Georgia,Asian,Designers,217095,1460,0.00672516640180566,0.8290560722050464
Hawaii,Asian,Designers,290190,1330,0.0045832041076536,0.56500210828763
Idaho,Asian,Designers,12030,0,NA,0
Illinois,Asian,Designers,378055,2285,0.00604409411329039,0.7450957532079483
Indiana,Asian,Designers,76575,410,0.00535422788116225,0.6600513461875532
Iowa,Asian,Designers,40760,45,0.00110402355250245,0.13610033943751856
Kansas,Asian,Designers,46470,105,0.00225952227243382,0.2785463657435822
Kentucky,Asian,Designers,33565,70,0.00208550573514077,0.257094187717449
Louisiana,Asian,Designers,41430,25,6.034274680183442e-4,0.07438852462618682
Maine,Asian,Designers,8235,0,NA,0
Maryland,Asian,Designers,213470,1205,0.00564482128636342,0.6958747314736158
Massachusetts,Asian,Designers,249930,1675,0.00670187652542711,0.8261849739631721
Michigan,Asian,Designers,163870,1445,0.00881796546042595,1.087049356503306
Minnesota,Asian,Designers,143550,895,0.0062347614071752,0.7686005809433126
Mississippi,Asian,Designers,14850,0,NA,0
Missouri,Asian,Designers,63375,305,0.00481262327416173,0.5932841375654063
Montana,Asian,Designers,4980,0,NA,0
Nebraska,Asian,Designers,24515,85,0.00346726493983275,0.4274328515559424
Nevada,Asian,Designers,131920,670,0.00507883565797452,0.6261019118939225
New Hampshire,Asian,Designers,20330,125,0.00614854894244958,0.7579725959820266
New Jersey,Asian,Designers,450385,4225,0.00938086303939962,1.15644149165588
New Mexico,Asian,Designers,16455,35,0.0021270130659374,0.26221107294853163
New York,Asian,Designers,864770,10990,0.01270858147253026,1.5666715155308113
North Carolina,Asian,Designers,154710,715,0.00462154999676814,0.5697292615378419
North Dakota,Asian,Designers,6855,0,NA,0
Ohio,Asian,Designers,136125,780,0.00573002754820936,0.7063786751015838
Oklahoma,Asian,Designers,44710,250,0.0055915902482666,0.6893125867284545
Oregon,Asian,Designers,98010,940,0.00959085807570656,1.182328978980571
Pennsylvania,Asian,Designers,227500,905,0.00397802197802197,0.4903972748330448
Rhode Island,Asian,Designers,18645,155,0.00831322070260123,1.024826107086624
South Carolina,Asian,Designers,41915,320,0.00763449838959799,0.9411554852288052
South Dakota,Asian,Designers,7135,0,NA,0
Tennessee,Asian,Designers,62925,250,0.00397298371076678,0.4897761740584696
Texas,Asian,Designers,712575,4150,0.00582394835631336,0.7179569189118965
Utah,Asian,Designers,40990,345,0.00841668699682849,1.0375810865730253
Vermont,Asian,Designers,6080,40,0.00657894736842105,0.8110306777007683
Virginia,Asian,Designers,304945,1475,0.00483693780845726,0.5962815522160136
Washington,Asian,Designers,355135,2935,0.00826446280991735,1.0188153967811306
West Virginia,Asian,Designers,7825,0,NA,0
Wisconsin,Asian,Designers,85760,320,0.00373134328358208,0.4599875485467045
Wyoming,Asian,Designers,2835,0,NA,0
Puerto Rico,Asian,Designers,1335,0,NA,0
Alabama,Other,Designers,43075,135,0.00313406848520023,0.5936441777534712
Alaska,Other,Designers,71330,135,0.00189261180428992,0.3584918401336152
Arizona,Other,Designers,182520,630,0.0034516765285996,0.6538043710172963
Arkansas,Other,Designers,37895,90,0.00237498350705897,0.44986098353750753
California,Other,Designers,688910,6420,0.0093190692543293,1.7651851677901436
Colorado,Other,Designers,87510,580,0.00662781396411838,1.2554171006829988
Connecticut,Other,Designers,41230,150,0.00363812757700703,0.6891212697531671
Delaware,Other,Designers,10885,40,0.00367478180983004,0.6960641850111304
District of Columbia,Other,Designers,11085,95,0.0085701398285972,1.623325602425315
Florida,Other,Designers,214840,825,0.00384006702662446,0.727371926715588
Georgia,Other,Designers,102865,680,0.00661060613425363,1.2521576543565316
Hawaii,Other,Designers,198250,625,0.00315258511979823,0.5971515332476477
Idaho,Other,Designers,25710,60,0.00233372228704784,0.4420454290458666
Illinois,Other,Designers,112345,730,0.00649784147047042,1.2307981702140045
Indiana,Other,Designers,61485,305,0.0049605594860535,0.9396116489481487
Iowa,Other,Designers,27340,80,0.00292611558156547,0.5542544735805526
Kansas,Other,Designers,43715,225,0.00514697472263525,0.9749217643345448
Kentucky,Other,Designers,36080,50,0.00138580931263858,0.2624951030295924
Louisiana,Other,Designers,42460,120,0.00282618935468676,0.5353268007898837
Maine,Other,Designers,14700,0,NA,0
Maryland,Other,Designers,85910,420,0.00488883715516238,0.9260262584726414
Massachusetts,Other,Designers,97815,520,0.00531615805346828,1.0069678730256095
Michigan,Other,Designers,120390,325,0.0026995597641,0.5113410712060803
Minnesota,Other,Designers,83065,295,0.00355143562270511,0.6727003861086546
Mississippi,Other,Designers,17430,0,NA,0
Missouri,Other,Designers,70070,345,0.00492364778079063,0.9326199641704448
Montana,Other,Designers,37130,50,0.00134661998384056,0.25507199885019366
Nebraska,Other,Designers,24240,50,0.00206270627062706,0.3907105328922315
Nevada,Other,Designers,69460,145,0.00208753239274402,0.39541300921670475
New Hampshire,Other,Designers,12270,70,0.00570497147514262,1.080615537427121
New Jersey,Other,Designers,85410,585,0.00684931506849315,1.2973730571654374
New Mexico,Other,Designers,91840,305,0.00332099303135888,0.6290507647602017
New York,Other,Designers,234265,2320,0.00990331462232941,1.8758508608758329
North Carolina,Other,Designers,145630,455,0.00312435624527913,0.5918045195873103
North Dakota,Other,Designers,23305,60,0.00257455481656296,0.487663075767828
Ohio,Other,Designers,121180,580,0.00478626836111569,0.906598039946932
Oklahoma,Other,Designers,242885,870,0.00358194207135063,0.6784788098118609
Oregon,Other,Designers,93460,580,0.00620586347100363,1.175492729304186
Pennsylvania,Other,Designers,104810,440,0.00419807270298635,0.7951840968639222
Rhode Island,Other,Designers,16140,170,0.01053283767038414,1.9950928921218187
South Carolina,Other,Designers,46335,190,0.00410057192187331,0.7767158434394998
South Dakota,Other,Designers,32695,20,6.117143294081664e-4,0.11586876668980202
Tennessee,Other,Designers,60575,355,0.00586050350804787,1.1100758655036669
Texas,Other,Designers,261190,1600,0.00612580879819288,1.160329056065876
Utah,Other,Designers,57995,230,0.0039658591257867,0.7511990216331647
Vermont,Other,Designers,5900,75,0.01271186440677966,2.4078364366036507
Virginia,Other,Designers,128845,760,0.00589856028561449,1.1172844458308582
Washington,Other,Designers,214925,805,0.00374549261370245,0.7094579756131387
West Virginia,Other,Designers,10700,70,0.00654205607476635,1.2391731443206329
Wisconsin,Other,Designers,66920,270,0.00403466826060968,0.7642326048036692
