state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Illinois,African-American,Architects,848255,230,2.7114487978261256e-4,1.0342390611437546
Indiana,African-American,Architects,292355,0,NA,0
Iowa,African-American,Architects,56060,0,NA,0
Kansas,African-American,Architects,83690,100,0.00119488588839765,4.557702363331007
Kentucky,African-American,Architects,176080,0,NA,0
Louisiana,African-American,Architects,656860,50,7.61197210973419e-5,0.2903465813013214
Maine,African-American,Architects,8410,0,NA,0
Maryland,African-American,Architects,957780,605,6.316690680532064e-4,2.409401292846364
Massachusetts,African-American,Architects,260415,110,4.224027033773016e-4,1.611187995568186
Michigan,African-American,Architects,624375,65,1.041041041041041e-4,0.3970885637824413
Minnesota,African-American,Architects,171180,0,NA,0
Mississippi,African-American,Architects,488460,120,2.4567006510256724e-4,0.937069428294244
Missouri,African-American,Architects,340530,0,NA,0
Montana,African-American,Architects,2855,0,NA,0
Nebraska,African-American,Architects,45795,0,NA,0
Nevada,African-American,Architects,125635,0,NA,0
New Hampshire,African-American,Architects,9675,0,NA,0
New Jersey,African-American,Architects,584190,255,4.365018230370256e-4,1.6649668472710737
New Mexico,African-American,Architects,19190,0,NA,0
New York,African-American,Architects,1375735,615,4.4703376740433295e-4,1.7051392756171122
North Carolina,African-American,Architects,1079195,130,1.2046015780280672e-4,0.45947613176796
North Dakota,African-American,Architects,12445,0,NA,0
Ohio,African-American,Architects,680665,125,1.8364393644450648e-4,0.7004806159916626
Oklahoma,African-American,Architects,134195,0,NA,0
Oregon,African-American,Architects,39020,0,NA,0
Pennsylvania,African-American,Architects,636035,40,6.288962085419828e-5,0.23988246608263508
Rhode Island,African-American,Architects,31000,0,NA,0
South Carolina,African-American,Architects,638810,80,1.2523285483946714e-4,0.4776808262703114
South Dakota,African-American,Architects,8670,0,NA,0
Tennessee,African-American,Architects,554550,30,5.409791723018664e-5,0.20634790954134272
Texas,African-American,Architects,1699445,675,3.971884938906525e-4,1.5150123998207714
Utah,African-American,Architects,16855,0,NA,0
Vermont,African-American,Architects,4210,0,NA,0
Virginia,African-American,Architects,837445,365,4.358495184758402e-4,1.662478735168492
Washington,African-American,Architects,147305,0,NA,0
West Virginia,African-American,Architects,29055,0,NA,0
Wisconsin,African-American,Architects,160610,0,NA,0
Wyoming,African-American,Architects,2975,0,NA,0
Puerto Rico,African-American,Architects,1405,0,NA,0
Alabama,Asian,Architects,33515,0,NA,0
Alaska,Asian,Architects,26420,0,NA,0
Arizona,Asian,Architects,120580,370,0.0030685022391773,1.477912737791206
Arkansas,Asian,Architects,24295,0,NA,0
California,Asian,Architects,3008795,5880,0.00195427072964426,0.941254520709793
Colorado,Asian,Architects,97015,250,0.00257692109467608,1.241147704401128
Connecticut,Asian,Architects,89425,95,0.0010623427453173,0.5116665241950311
Delaware,Asian,Architects,19880,0,NA,0
District of Columbia,Asian,Architects,19090,50,0.00261917234154007,1.2614975855681028
Florida,Asian,Architects,292825,380,0.00129770340647144,0.625025580823231
Georgia,Asian,Architects,217095,695,0.00320136345839379,1.5419039859420145
Hawaii,Asian,Architects,290190,515,0.0017746993349185,0.854765793988419
Idaho,Asian,Architects,12030,0,NA,0
Illinois,Asian,Architects,378055,1135,0.00300220867334118,1.445983119447801
Indiana,Asian,Architects,76575,55,7.182500816193273e-4,0.3459378099816466
Iowa,Asian,Architects,40760,50,0.00122669283611383,0.590824065468476
Kansas,Asian,Architects,46470,125,0.00268990746718312,1.2955664357916443
Kentucky,Asian,Architects,33565,0,NA,0
Louisiana,Asian,Architects,41430,35,8.447984552256819e-4,0.406888540573173
Maine,Asian,Architects,8235,0,NA,0
Maryland,Asian,Architects,213470,485,0.00227198201152386,1.0942769120363625
Massachusetts,Asian,Architects,249930,800,0.00320089625095026,1.541678960252556
Michigan,Asian,Architects,163870,215,0.0013120156221395,0.6319189132027146
Minnesota,Asian,Architects,143550,275,0.00191570881226053,0.9226815673752904
